# chip table
# NumData 44
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,  [1939  828 1156 2363],    0.0
         2,      2,       0,  [ 802 1493 1464 2678],    0.0
         3,      3,       0,  [1457 1493  944 3507],    0.0
         4,      4,       0,  [ 976  703 1676 4354],    0.0
         5,      5,       0,  [1547 1450  451 2918],    0.0
         6,      6,       0,  [ 963 1432 2620 1747],    0.0
         7,      7,       0,  [ 282  430 4187 2145],    0.0
         8,      8,       0,  [ 687  472 2119 4335],    0.0
         9,      9,       0,  [1374  584 1798 3006],    0.0
        10,     10,       0,  [ 571 1377 1676 3661],    0.0
        11,     11,       0,  [ 610  568 2428 4470],    0.0
        12,     12,       0,  [1072 1820 1272 2486],    0.0
        13,     13,       0,  [ 629  895 2370 4239],    0.0
        14,     14,       0,  [1901 2418 1638 3006],    0.0
        15,     15,       0,  [1130 2013 1079 2312],    0.0
        16,     16,       0,  [ 860 1994 1214 3141],    0.0
        17,     17,       0,  [2235  417  835 2094],    0.0
        18,     18,       0,  [ 513  915 2466 3603],    0.0
        19,     19,       0,  [ 436 1146 2543 3969],    0.0
        20,     20,       0,  [2414 1162  706 2119],    0.0
        21,     21,       0,  [1644  430 1721 2710],    0.0
        22,     22,       0,  [ 667  568 1927 4875],    0.0
        23,     23,       0,  [1066  481 2171 3147],    0.0
        24,     24,       0,  [2003 1059 1310 1503],    0.0
        25,     25,       0,  [ 918 1897 2197 1368],    0.0
        26,     26,       0,  [1978  931 1246 1811],    0.0
        27,     27,       0,  [  32 1647 3121 3083],    0.0
        28,     28,       0,  [ 956  606 1233 4451],    0.0
        29,     29,       0,  [ 976  391 4021 3198],    0.0
        30,     30,       0,  [1811 1021 1516 1464],    0.0
        31,     31,       0,  [ 995  529 1503 4894],    0.0
        32,     32,       0,  [ 610 1184 3006 2563],    0.0
        33,     33,       0,  [ 822 1570 1965 2697],    0.0
        34,     34,       0,  [ 263  375 2832 4277],    0.0
        35,     35,       0,  [ 166  202 3449 4855],    0.0
        36,     36,       0,  [ 879  125 1715 5299],    0.0
        37,     37,       0,  [  89  664 2119 4451],    0.0
        38,     38,       0,  [2312  353 2428 3224],    0.0
        39,     39,       0,  [2633  468 1978 2980],    0.0
        40,     40,       0,  [ 571 1050 2871 4123],    0.0
        41,     41,       0,  [ 616   32 4277 3584],    0.0
        42,     42,       0,  [ 358  171 1474 1310],    0.0
        43,     43,       0,  [ 559   76 1320 1289],    0.0
        44,     44,       0,  [ 116  400 1379 1830],    0.0
