# image table
# NumData 41
#   gid,          gname,    aif
      1,    potoka8.JPG,  False
      2,   potoka13.JPG,  False
      3,   mithra11.JPG,  False
      4,    mithra4.JPG,  False
      5,   potoka12.JPG,  False
      6,   jasiri15.JPG,  False
      7,  arnieta13.JPG,  False
      8,   arnieta9.JPG,  False
      9,    jasiri3.JPG,  False
     10,    franny8.JPG,  False
     11,    mithra2.JPG,  False
     12,    potoka9.JPG,  False
     13,    mithra5.JPG,  False
     14,   franny10.JPG,  False
     15,   potoka15.JPG,  False
     16,  arnieta12.JPG,  False
     17,    jasiri4.JPG,  False
     18,    mithra3.JPG,  False
     19,   potoka10.JPG,  False
     20,   jasiri16.JPG,  False
     21,   jasiri14.JPG,  False
     22,   franny12.JPG,  False
     23,    jasiri8.JPG,  False
     24,    jasiri6.JPG,  False
     25,   potoka11.JPG,  False
     26,    jasiri5.JPG,  False
     27,  arnieta11.JPG,  False
     28,  arnieta10.JPG,  False
     29,  arnieta16.JPG,  False
     30,    jasiri7.JPG,  False
     31,  arnieta15.JPG,  False
     32,   franny11.JPG,  False
     33,   potoka14.JPG,  False
     34,   franny13.JPG,  False
     35,    franny9.JPG,  False
     36,    franny3.JPG,  False
     37,    franny2.JPG,  False
     38,   potoka16.JPG,  False
     39,    potoka3.JPG,  False
     40,    potoka2.JPG,  False
     41,   arnieta2.JPG,  False
