# chip table
# NumData 45
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       6,  [1975 1055  921 1438],    0.0
         2,      2,       6,  [ 852 1797 1219 1662],    0.0
         3,      3,       5,  [1414 1561 1019 1788],    0.0
         4,      4,       5,  [1022  623 1662 2999],    0.0
         5,      5,       6,  [1569 1760  406 1507],    0.0
         6,      6,       5,  [ 571  859 1928 2652],    0.0
         7,      7,       6,  [1059 1864 1256 1492],    0.0
         8,      8,       3,  [1015  852 2519 3184],    0.0
         9,      9,       2,  [1022  652 1182 2940],    0.0
        10,     10,       4,  [1788 1006 1497 1364],    0.0
        11,     11,       2,  [ 970  911 1307 3051],    0.0
        12,     12,       3,  [ 727 1044 2910 1906],    0.0
        13,     13,       3,  [ 210 1568 1706 2667],    0.0
        14,     14,       2,  [ 680   31 3491 2231],    0.0
        15,     15,       2,  [ 773  209 1041  804],    0.0
        16,     16,       6,      [783 138 911 684],    0.0
        17,     17,       6,  [ 654  951  844 1291],    0.0
        18,     18,       5,  [   4  605  814 1637],    0.0
        19,     19,       3,  [ 250 1364  513  881],    0.0
        20,     20,       3,      [134 620 671 729],    0.0
        21,     21,       3,  [ 432  496  541 1482],    0.0
        22,     22,       2,  [1099  622  998  873],    0.0
        23,     23,       4,  [ 338   51 1547  678],    0.0
        24,     24,       4,      [  0 569 921 927],    0.0
        25,     25,       2,  [   4  523  863 1719],    0.0
        26,     26,       2,  [ 473  565  533 1528],    0.0
        27,     27,       5,  [ 693  578  802 1543],    0.0
        28,     28,       5,  [ 432  341  787 1106],    0.0
        29,     29,       4,  [ 346   89 1383  567],    0.0
        30,     30,       3,  [ 599  538  896 1531],    0.0
        31,     31,       4,  [ 809  827  686 1415],    0.0
        32,     32,       3,  [ 329  304 1008 1109],    0.0
        33,     33,       2,  [ 714  596  782 1497],    0.0
        34,     34,       4,  [ 359  383  662 1017],    0.0
        35,     35,       6,      [  4 301 890 999],    0.0
        36,     36,       2,  [ 387  289  963 1008],    0.0
        37,     37,       6,  [   0  262 1498 1231],    0.0
        38,     38,       2,  [   2  464  893 1031],    0.0
        39,     39,       5,  [ 541 1042  957 1200],    0.0
        40,     40,       3,  [  25  687  726 1552],    0.0
        41,     41,       5,  [1247  205 1000 1073],    0.0
        42,     42,       5,  [   4  386  778 1853],    0.0
        43,     43,       2,  [ 428    1 1069 1134],    0.0
        44,     44,       4,  [ 456  967  431 1282],    0.0
        45,     45,       6,      [587 438 468 893],    0.0
