# image table
# NumData 45
#   gid,           gname,    aif
      1,     potoka8.JPG,  False
      2,    potoka13.JPG,  False
      3,    mithra11.JPG,  False
      4,     mithra4.JPG,  False
      5,    potoka12.JPG,  False
      6,     mithra2.JPG,  False
      7,     potoka9.JPG,  False
      8,    franny10.JPG,  False
      9,   arnieta10.JPG,  False
     10,     jasiri7.JPG,  False
     11,   arnieta15.JPG,  False
     12,    franny11.JPG,  False
     13,    franny13.JPG,  False
     14,    arnieta2.JPG,  False
     15,   arnieta3.jpeg,  False
     16,    potoka5.jpeg,  False
     17,    potoka7.jpeg,  False
     18,    mithra9.jpeg,  False
     19,   franny15.jpeg,  False
     20,    franny6.jpeg,  False
     21,    franny4.jpeg,  False
     22,   arnieta6.jpeg,  False
     23,    jasiri2.jpeg,  False
     24,   jasiri10.jpeg,  False
     25,   arnieta8.jpeg,  False
     26,  arnieta14.jpeg,  False
     27,   mithra10.jpeg,  False
     28,    mithra1.jpeg,  False
     29,    jasiri1.jpeg,  False
     30,    franny7.jpeg,  False
     31,   jasiri13.jpeg,  False
     32,    franny1.jpeg,  False
     33,   arnieta4.jpeg,  False
     34,   jasiri11.jpeg,  False
     35,    potoka6.jpeg,  False
     36,   arnieta1.jpeg,  False
     37,    potoka1.jpeg,  False
     38,   arnieta5.jpeg,  False
     39,    mithra7.jpeg,  False
     40,    franny5.jpeg,  False
     41,    mithra8.jpeg,  False
     42,    mithra6.jpeg,  False
     43,   arnieta7.jpeg,  False
     44,    jasiri9.jpeg,  False
     45,    potoka4.jpeg,  False
